longitude;latitude;code_commune_station;libelle
-61.658989597;16.189402471;97118;PETIT-BOURG
-61.651949755;16.19582925;97118;PETIT-BOURG
-61.65561032;16.193954427;97118;PETIT-BOURG
-61.672778414;16.158271038;97118;PETIT-BOURG
-61.69319975;16.175997699;97118;PETIT-BOURG
-61.666435864;16.199136863;97118;PETIT-BOURG
-61.657233929;16.202822061;97118;PETIT-BOURG
-61.673385354;16.193433429;97118;PETIT-BOURG
-61.653093292;16.205118648;97118;PETIT-BOURG
-61.668681698;16.225308732;97115;LAMENTIN
-61.668130065;16.27971171;97129;SAINTE-ROSE
-61.667993471;16.271941152;97129;SAINTE-ROSE
-61.717770023;16.293870123;97129;SAINTE-ROSE
-61.715113667;16.296798381;97129;SAINTE-ROSE
-61.745007441;16.336032497;97129;SAINTE-ROSE
-61.627892425;16.157941415;97118;PETIT-BOURG
-61.60212418;16.181951987;97118;PETIT-BOURG
-61.597352472;16.149653493;97114;GOYAVE
-61.647192928;16.180126943;97118;PETIT-BOURG
-61.609381528;16.071929809;97107;CAPESTERRE-BELLE-EAU
-61.56608824;16.057036348;97107;CAPESTERRE-BELLE-EAU
-61.585446667;16.066805019;97107;CAPESTERRE-BELLE-EAU
-61.603401793;16.057559475;97107;CAPESTERRE-BELLE-EAU
-61.605619672;16.039714664;97107;CAPESTERRE-BELLE-EAU
-61.57502155;16.022531066;97107;CAPESTERRE-BELLE-EAU
-61.623693349;16.045389917;97107;CAPESTERRE-BELLE-EAU
-61.615206314;16.123740687;97114;GOYAVE
-61.587337245;16.127263578;97114;GOYAVE
-61.562456953;16.100001781;97107;CAPESTERRE-BELLE-EAU
-61.659512131;15.963211632;97132;TROIS-RIVIERES
-61.609276275;16.019158627;97107;CAPESTERRE-BELLE-EAU
-61.615413076;16.02500079;97107;CAPESTERRE-BELLE-EAU
-61.615282247;16.024999945;97107;CAPESTERRE-BELLE-EAU
-61.739269766;16.010759526;97104;BAILLIF
-61.725152838;15.996332898;97105;BASSE-TERRE
-61.720413666;15.989236632;97105;BASSE-TERRE
-61.718538802;16.067742559;97104;BAILLIF
-61.695519784;16.110056606;97134;VIEUX-HABITANTS
-61.717583131;16.101603762;97134;VIEUX-HABITANTS
-61.725180957;16.086536891;97134;VIEUX-HABITANTS
-61.759929533;16.059657043;97134;VIEUX-HABITANTS
-61.74909047;16.098599964;97134;VIEUX-HABITANTS
-61.765614739;16.162251555;97106;BOUILLANTE
-61.757070717;16.160722892;97106;BOUILLANTE
-61.750553449;16.162022446;97106;BOUILLANTE
-61.776039409;16.224316529;97121;POINTE-NOIRE
-61.746477755;16.067971261;97121;POINTE-NOIRE
-61.79058361;16.285746742;97111;DESHAIES
-61.782868367;16.29672549;97111;DESHAIES
-61.508468286;16.255793409;97101;ABYMES
-61.440836092;16.329290583;97116;MORNE-A-L'EAU
-61.441215057;16.40045727;97119;PETIT-CANAL
-61.49924553;16.403970454;97122;PORT-LOUIS
-61.488267384;16.415513864;97122;PORT-LOUIS
-61.508933348;16.441174358;97122;PORT-LOUIS
-61.322648953;16.311995675;97117;MOULE
-61.3790885;16.252520424;97128;SAINTE-ANNE
-61.497841135;16.217444195;97113;GOSIER
-61.289587036;15.935073394;97126;SAINT-LOUIS
-61.225533373;14.831497784;97219;PRECHEUR
-61.178256371;14.873158238;97211;GRAND'RIVIERE
-61.178256371;14.873158238;97211;GRAND'RIVIERE
-61.11098285;14.776624396;97218;MORNE-ROUGE
-61.106495975;14.812058121;97214;LORRAIN
-61.096447645;14.831861995;97214;LORRAIN
-61.101868228;14.804790393;97214;LORRAIN
-61.055504668;14.788161638;97214;LORRAIN
-61.059176417;14.779809287;97214;LORRAIN
-61.057075397;14.796735688;97214;LORRAIN
-61.006936513;14.773034836;97228;SAINTE-MARIE
-61.037961962;14.730869121;97212;GROS-MORNE
-60.960337268;14.717007964;97230;TRINITE
-60.98797774;14.730483451;97230;TRINITE
-60.981706085;14.729521489;97230;TRINITE
-61.09286828;14.6616867;97209;FORT-DE-FRANCE
-61.097490855;14.676753304;97209;FORT-DE-FRANCE
-61.100287937;14.618484551;97229;SCHŒLCHER
-61.097887359;14.626501082;97229;SCHŒLCHER
-61.100055406;14.617853328;97229;SCHŒLCHER
-61.141301418;14.729517849;97208;FONDS-SAINT-DENIS
-61.169082937;14.714960626;97204;CARBET
-61.163459122;14.757457549;97225;SAINT-PIERRE
-61.176308059;14.749127233;97225;SAINT-PIERRE
-61.016305292;14.648854081;97213;LAMENTIN
-61.023931232;14.632474171;97213;LAMENTIN
-61.034979423;14.632967635;97209;FORT-DE-FRANCE
-61.071269419;14.61689841;97209;FORT-DE-FRANCE
-61.071269419;14.61689841;97209;FORT-DE-FRANCE
-61.072165027;14.615273483;97209;FORT-DE-FRANCE
-61.048843648;14.716331664;97212;GROS-MORNE
-61.033428439;14.709559449;97212;GROS-MORNE
-61.026200998;14.703380604;97212;GROS-MORNE
-61.022531224;14.700649554;97212;GROS-MORNE
-60.993689841;14.675951231;97212;GROS-MORNE
-61.09254523;14.704929928;97209;FORT-DE-FRANCE
-61.093952971;14.705769475;97209;FORT-DE-FRANCE
-61.073444949;14.702960368;97224;SAINT-JOSEPH
-61.068678697;14.69963084;97224;SAINT-JOSEPH
-61.03554371;14.68061176;97224;SAINT-JOSEPH
-61.03554371;14.68061176;97224;SAINT-JOSEPH
-61.044226351;14.685145736;97224;SAINT-JOSEPH
-61.022964534;14.675805438;97224;SAINT-JOSEPH
-60.985489727;14.62517646;97213;LAMENTIN
-60.985489727;14.62517646;97213;LAMENTIN
-60.998352278;14.651647472;97213;LAMENTIN
-60.993999657;14.645465054;97213;LAMENTIN
-60.995933352;14.666436069;97213;LAMENTIN
-60.965244359;14.643588774;97213;LAMENTIN
-60.97419328;14.625094369;97213;LAMENTIN
-60.97419328;14.625094369;97213;LAMENTIN
-60.987499011;14.611799759;;
-60.994998202;14.617685939;97213;LAMENTIN
-60.998224292;14.605747482;97213;LAMENTIN
-60.962681039;14.613689172;97213;LAMENTIN
-60.99753845;14.604004971;97213;LAMENTIN
-61.004323585;14.599954616;97213;LAMENTIN
-60.940031396;14.688732455;97222;ROBERT
-60.919731401;14.613149785;97210;FRANCOIS
-60.909463185;14.616384816;97210;FRANCOIS
-60.902648296;14.61368096;97210;FRANCOIS
-60.876715582;14.583676836;97210;FRANCOIS
-60.880462383;14.580573212;97210;FRANCOIS
-60.850910104;14.518406682;97232;VAUCLIN
-60.852992932;14.501105405;97217;MARIN
-60.853616487;14.449215372;97226;SAINTE-ANNE
-60.937987677;14.562362799;97223;SAINT-ESPRIT
-60.960058505;14.547599077;97221;RIVIERE-SALEE
-60.960058505;14.547599077;97221;RIVIERE-SALEE
-60.964644448;14.527102542;97221;RIVIERE-SALEE
-60.98144987;14.534648901;97221;RIVIERE-SALEE
-60.977396267;14.52424337;97221;RIVIERE-SALEE
-60.983282868;14.524137738;97221;RIVIERE-SALEE
-60.964891696;14.564889911;97207;DUCOS
-60.904818828;14.496114205;97220;RIVIERE-PILOTE
-60.903969933;14.484987307;97220;RIVIERE-PILOTE
-60.890072824;14.498893027;97220;RIVIERE-PILOTE
-60.963652676;14.488462522;97227;SAINTE-LUCE
-60.961577974;14.486141542;97227;SAINTE-LUCE
-61.031695201;14.487280205;97206;DIAMANT
45.205680635;-12.800646373;97611;MAMOUDZOU
45.185710871;-12.797179721;97611;MAMOUDZOU
45.178368783;-12.733667893;97610;KOUNGOU
45.106868127;-12.715276989;97602;BANDRABOUA
45.110914892;-12.722328785;97602;BANDRABOUA
45.099822626;-12.717956433;97602;BANDRABOUA
45.135569806;-12.732029374;97602;BANDRABOUA
45.116986292;-12.724668283;97602;BANDRABOUA
45.140670399;-12.743791491;97602;BANDRABOUA
45.148436832;-12.760561754;97617;TSINGONI
45.164894403;-12.73753793;97610;KOUNGOU
45.098430035;-12.761317582;97613;M'TSANGAMOUJI
45.106967053;-12.775430173;97617;TSINGONI
45.110564284;-12.784688572;97617;TSINGONI
45.146913736;-12.771350726;97617;TSINGONI
45.127685913;-12.808210302;97617;TSINGONI
45.132076288;-12.834061555;97614;OUANGANI
45.129723012;-12.97068984;97609;KANI-KELI
45.158037662;-12.968467768;97603;BANDRELE
45.177033542;-12.840129963;97607;DEMBENI
45.19411718;-12.873241559;97607;DEMBENI
55.615699903;-21.376618691;97412;SAINT-JOSEPH
55.615654868;-21.375254291;97412;SAINT-JOSEPH
55.644621986;-21.340248013;97412;SAINT-JOSEPH
55.643387787;-21.33902202;97412;SAINT-JOSEPH
